시/도,시/군/구,서점명,매장번호,주소,인증여부,좌표
서울특별시,중구,노말에이,070-4681-5858,서울 중구 마른내로 12 (저동2가) 4층,미인증,"37.560756, 127.008422"
서울특별시,노원구,노원문고5매장,02-932-3822,서울 노원구 상계로 59 (상계동) 지하1층,미인증,"37.658097, 127.062698"
서울특별시,노원구,노원문고본점,02-951-0633,"서울 노원구 동일로 1384 (상계동, 상계주공6단지아파트) 지하1층",미인증,"37.655743, 127.062094"
서울특별시,노원구,노원문고중계점,02-2091-0633,서울 노원구 중계동 366-5 지하1층,미인증,"37.648363, 127.078683"
서울특별시,강북구,뉴타운문고,02-980-2105,서울 강북구 도봉로 45 (미아동) 나진동 1호,미인증,"37.613968, 127.029301"
서울특별시,관악구,늘벗서점,02-887-4971,서울 관악구 신림로23길 22 (신림동),미인증,"37.483993, 126.920920"
서울특별시,영등포구,늘푸른글방,02-841-5139,서울 영등포구 영등포로 418-1 (신길동),미인증,"37.514136, 126.918013"
서울특별시,은평구,니은서점,02-6084-8433,서울 은평구 연서로26길 35 (대조동),미인증,"37.600995, 126.926313"
서울특별시,광진구,다름상상,010-2738-8233,서울 광진구 구의로16길 93 (구의동) 1층 101호,미인증,"37.540163, 127.086519"
서울특별시,관악구,다산서적,02-883-9321,서울 관악구 대학6길 19 (신림동),미인증,"37.478947, 126.935131"
서울특별시,관악구,다솜서점,02-864-1330,서울 관악구 난우10길 6 지층,인증,"37.478815, 126.934386"
서울특별시,노원구,다솜서점,02-932-5808,서울 노원구 동일로 1677 지하,미인증,"37.479581, 126.932218"
서울특별시,강서구,다시서점,070-4383-4869,서울 강서구 양천로24길 113 (방화동) 지하 1층,미인증,"37.566989, 126.826789"
서울특별시,성북구,다온책방,02-6014-1414,서울 성북구 한천로68길 31 (석관동) 1층,미인증,"37.610228, 127.059996"
서울특별시,동작구,다정한 책방,02-6952-1025,서울 동작구 동작대로9가길 32 (사당동) 1층,미인증,"37.480502, 126.980791"
서울특별시,서대문구,달걀책방,070-8822-2425,서울 서대문구 성산로9길 43-35 (연희동) 1층 103호,미인증,"37.562272, 126.936619"
서울특별시,마포구,당인리책발전소,070-1111-2222,서울 마포구 월드컵로14길 10-8 (서교동),미인증,"37.558458, 126.919776"
서울특별시,영등포구,대교서적,02-780-6407,서울 영등포구 국제금융로7길 22 (여의도동) 대교비상가 1층 116호 대교서적,인증,"37.505871, 126.949969"
서울특별시,동작구,대륙서점,02-821-8878,서울 동작구 성대로 40 (상도동) 1층,미인증,"37.501883, 126.931616"
서울특별시,영등포구,대림문고,02-841-1101,서울 영등포구 대림로 199 1층 (대림동),미인증,"37.509384, 126.905055"
서울특별시,광진구,대림서점,02-2275-4216,서울 광진구 아차산로 208 (자양동),미인증,"37.479097, 127.065273"
서울특별시,관악구,대민문고,02-875-5300,서울 관악구 봉천동 31-1 관악프라자 지층,인증,"37.507465, 126.920818"
서울특별시,은평구,대성서점,02-357-3410,서울 은평구 갈현로29길 51-30 (갈현동),미인증,"37.646465, 127.036651"
서울특별시,종로구,대승서적,02-2277-0656,서울 종로구 율곡로14길 57 (충신동),미인증,"37.553066, 126.864287"
서울특별시,강서구,대영문고,02-3663-7859,서울 강서구 양천로 669 (염창동) 2층,미인증,"37.519421, 126.832204"
서울특별시,영등포구,대원문고,02-2671-2375,서울 영등포구 당산로45길 1 (당산동5가) 205 호,인증,"37.494392, 126.950281"
서울특별시,종로구,대원서적,02-2275-1543,서울 종로구 종로 258 (종로6가)덕성빌딩 A-7호,미인증,"37.626964, 127.024023"
서울특별시,성북구,대원서점,02-914-0660,서울 성북구 정릉로 241 1층 대원서점 (정릉동),미인증,"37.579786, 127.000507"
서울특별시,금천구,대일서점,02-853-1948,서울 금천구 시흥대로 474 (독산동)1층 대일서점,미인증,"37.570022, 127.015438"
서울특별시,강서구,대지문고,02-2644-2650,서울 강서구 등촌로3길 39 (화곡동),미인증,"37.525402, 126.895585"
서울특별시,관악구,대천서점,02-878-7557,서울 관악구 남부순환로 1734 (봉천동) 주원빌딩 B1,인증,"37.559128, 126.851018"
서울특별시,용산구,대학서적 숙명여대점,02-702-3316,서울 용산구 청파로47길 100 (청파동2가),미인증,"37.568983, 126.968251"
서울특별시,성동구,대학서적 한양대점,0507-1310-3384,서울 성동구 왕십리로 222 (사근동) 학생회관 1층 구내서점,미인증,"37.575683, 126.981237"
서울특별시,성동구,대학서적 한양여대점,02-2290-2751,서울 성동구 살곶이길 200 (사근동),미인증,"37.564578, 126.961614"
서울특별시,종로구,더북소사이어티,070-8621-5676,서울 종로구 자하문로10길 22 (통의동) 201,미인증,"37.569018, 126.970559"
서울특별시,서초구,더북스서점,02-3477-6545,서울 서초구 고무래로 22 (반포동) 쌍동빌딩 서관,미인증,"37.570663, 126.966949"
서울특별시,종로구,더숲 초소책방,02-735-0206,서울 종로구 인왕산로 172 (옥인동),미인증,"37.572936, 126.968584"
서울특별시,서대문구,데카르트 수학 책방,02-6082-1166,서울 서대문구 불광천길 116 (북가좌동) 2층,미인증,"37.610278, 126.924166"
서울특별시,광진구,도토리책방,0507-1351-3573,서울 광진구 아차산로41길 7 (자양동) 1층 101호,미인증,"37.537038, 127.078375"
서울특별시,마포구,독서관,010-5287-1930,서울 마포구 동교로27길 41 (연남동) 1층,미인증,"37.561095, 126.922113"
서울특별시,종로구,동남서적,,서울 종로구 종로 260 (종로6가),미인증,"37.570399, 126.999513"
서울특별시,서초구,동네북스,02-571-7757,서울 서초구 동산로6길 18 (양재동) 새한빌딩 1층,인증,"37.459660, 127.041116"
서울특별시,노원구,동네책방 브론테살롱,02-933-8051,서울 노원구 동일로242길 87 (상계동) 커피나무 2층,미인증,"37.656832, 127.054036"
서울특별시,마포구,동네책방개똥이네책놀이터,02-338-0478,서울 마포구 성미산로3나길 16 (성산동),미인증,"37.556917, 126.916146"
서울특별시,성북구,동덕여대 구내서점,02-940-4291,서울 성북구 화랑로13길 60 (하월곡동),미인증,"37.618633, 127.043230"
서울특별시,종로구,동명서점,02-2265-6696,서울 종로구 종로 258 (종로6가) 덕성빌딩 a 20호,미인증,"37.571306, 126.968726"
서울특별시,서초구,동문서점,02-596-8002,서울 서초구 서초중앙로26길 10 (서초동),미인증,"37.491850, 127.011011"
서울특별시,구로구,동방서적,02-2616-9911,서울 구로구 경인로 219 지하1층 동방서적 (오류동),인증,"37.523626, 126.849376"
서울특별시,강남구,동아서점,02-545-0948,"서울 강남구 압구정로29길 68 (압구정동, 현대아파트) 8호",미인증,"37.527493, 127.029715"
서울특별시,종로구,동양서림,02-762-0715,서울 종로구 창경궁로 271-1 (혜화동)114-2,미인증,"37.565448, 126.999308"
서울특별시,금천구,동일서점프라자,02-802-7446,서울 금천구 금하로 771 (시흥동) 1층 102호,미인증,"37.573367, 126.986947"
서울특별시,종로구,동지서적,02-762-7596,서울 종로구 김상옥로 64-1 (충신동)여양진씨대종회관 1층,미인증,"37.571845, 126.966023"
서울특별시,강남구,두나서점,02-561-4326,서울 강남구 선릉로 325 (역삼동),인증,"37.503492, 127.043671"
서울특별시,관악구,드림서점,02-887-4940,서울 관악구 은천로25길 27 (봉천동)하우젠빌 104호,인증,"37.496486, 126.953933"
서울특별시,마포구,땡스북스,02-325-0321,서울 마포구 양화로6길 57-6 (서교동) 1층,미인증,"37.555982, 126.923021"
서울특별시,마포구,라이너노트,02-337-9966,서울 마포구 성미산로29길 4 (연남동),미인증,"37.563018, 126.923477"
서울특별시,종로구,라책방,02-379-1975,서울 종로구 자하문로10길 28 (통의동) 1층,미인증,"37.578541, 126.968718"
서울특별시,강서구,로뎀서점,02-2699-5365,서울 강서구 월정로 128-1 (화곡동),미인증,"37.540542, 126.837579"
서울특별시,종로구,로프트북스,070-8691-3223,서울 종로구 창의문로 129 (부암동) 2층,미인증,"37.591066, 126.965763"
서울특별시,종로구,리테라,-----,서울 종로구 성균관로17길 5 (명륜1가) 601호,미인증,해당 정보가 없어서 좌표 제공 불가
서울특별시,노원구,마들문고,02-938-0028,서울 노원구 동일로 1550 (상계동)고려플라자빌딩 지하1층,미인증,"37.655238, 127.059835"
서울특별시,종로구,마음책방 서가는,070-8818-0137,서울 종로구 창경궁로35길 21 (혜화동) 1층,미인증,"37.586381, 127.001507"
서울특별시,용산구,마이어날다,010-9224-7487,서울 용산구 서빙고로 17 (한강로3가) 용산센트럴파크 해링턴스퀘어 상가 Mall D 2층 43호,미인증,"37.530772, 126.965719"
서울특별시,종로구,마이웨이북스,02-736-8185,서울 종로구 인사동7길 12 (관훈동),미인증,"37.570441, 126.988275"
서울특별시,종로구,마이페이버릿,02-544-9319,서울 종로구 자하문로 121 (청운동) B01호,미인증,"37.583636, 126.970662"
서울특별시,송파구,마중물서점,02-425-7279,서울 송파구 삼전로 99 대성빌딩 지하 (잠실동),인증,"37.510725, 127.090425"
서울특별시,마포구,마포문고,02-715-0066,서울 마포구 큰우물로 60 (용강동) 지하 1층,미인증,"37.553676, 126.933007"
서울특별시,강서구,마포문구문고,02-3664-1704,서울 강서구 등촌동 639,미인증,"37.557423, 126.848049"
서울특별시,강서구,마포문구문고,02-3664-1704,서울 강서구 화곡로 404 (등촌동),인증,"37.529489, 126.849450"
서울특별시,종로구,만나서적,02-2278-6630,서울 종로구 율곡로14길 57 (충신동),미인증,"37.572360, 126.978698"
서울특별시,마포구,만유인력,070-4045-5935,서울 마포구 손기정로 52 (아현동) 1층,미인증,"37.558601, 126.954173"
서울특별시,영등포구,만점북스,02-2672-2375,서울 영등포구 당산로44길 3 (당산동5가) 118호,미인증,"37.515123, 126.903632"
서울특별시,은평구,매일문고,02-355-0262,서울 은평구 서오릉로 133 1층 매일문고 (역촌동),인증,"37.606183, 126.932202"
서울특별시,서초구,메종인디아 트래블앤북스,02-6257-1045,서울 서초구 방배로23길 31-43 (방배동),미인증,"37.489452, 126.839154"
서울특별시,강서구,명덕서점,02-2663-8874,"서울 강서구 공항대로36길 91 (내발산동, 로즈빌)",미인증,"37.544732, 127.153126"
서울특별시,강동구,명문서적,02-428-2227,서울 강동구 고덕로62길 66 (명일동),미인증,"37.545036, 127.142833"
서울특별시,서대문구,명지서적,02-305-6467,서울 서대문구 가좌로 120 (홍은동)명지서적1층,미인증,"37.631264, 127.043899"
서울특별시,서대문구,명지전문대 구내서점,02-304-0161,서울 서대문구 가좌로 134 (홍은동),미인증,"37.554268, 127.131689"
서울특별시,도봉구,모닝글로리,02-956-9227,서울 도봉구 시루봉로 67 (방학동)청구아파트상가B동지하,미인증,"37.639868, 127.057758"
서울특별시,강동구,모두랑,02-442-3213,"서울 강동구 양재대로 1706 (고덕동, 아남아파트) 상가 2층 215호",미인증,"37.557297, 127.136150"
서울특별시,도봉구,모모,010-2357-9640,서울 도봉구 도봉로181나길 16 (도봉동)B1,미인증,"37.532860, 126.868717"
서울특별시,양천구,목동문고,02-2643-3070,"서울 양천구 목동서로 400 (신정동, 목동신시가지아파트10단지) A상가 지하층",인증,"37.532860, 126.868717"
서울특별시,양천구,목동서점,02-2643-3070,"서울 양천구 목동서로 400 (신정동, 목동신시가지아파트10단지) A동 101호",미인증,"37.498416, 126.866657"
서울특별시,서초구,목성서점,070-8833-7347,서울 서초구 주흥13길 13-1 (반포동) 202호,미인증,"37.509998, 127.105486"
서울특별시,동대문구,무아레서점,,서울 동대문구 천호대로89길 9 (장안동) 2층,미인증,"37.574059, 127.069282"
서울특별시,중구,문향서점,02-2274-5434,서울 중구 수표로2길 11 (충무로3가),미인증,"37.560532, 126.993619"
서울특별시,서대문구,문화문고,02-395-4097,서울 서대문구 간호대로 4 (홍제동)279-21,미인증,"37.586974, 126.941685"
서울특별시,마포구,문화살롱 초고,0507-1357-7579,서울 마포구 독막로2길 30 (합정동),미인증,"37.548965, 126.912872"
서울특별시,마포구,문화서점,02-789-3898,서울 마포구 성암로 267 (상암동) 1층,미인증,"37.577222, 126.898854"
서울특별시,노원구,문화플랫폼더숲,02-951-0206,서울 노원구 노해로 480 (상계동) 지하1층,미인증,"37.655285, 127.060673"
서울특별시,종로구,뭐든지 책방,02-766-3581,서울 종로구 창신길 119 (창신동) 1층,미인증,"37.572710, 127.012349"
서울특별시,송파구,미래서적,02-422-4442,서울 송파구 백제고분로18길 4 (잠실동) 105호 미래서적,미인증,"37.511760, 127.093273"
서울특별시,서대문구,미스터리 유니온,02-6080-7040,서울 서대문구 이화여대길 88-11 (대현동),미인증,"37.558992, 126.941876"
서울특별시,은평구,미하북스,02-355-1876,서울 은평구 증산로21길 10-1 (신사동),미인증,"37.602433, 126.908502"
서울특별시,도봉구,민영서점,02-955-7046,서울 도봉구 도봉로180나길 41 도봉한신아파트 한신쇼핑타운 3층 318호 (도봉동),미인증,"37.668334, 127.045359"
서울특별시,서초구,믿음문고,070-7776-3384,서울 서초구 양재천로 95-4 (양재동) 1층,미인증,"37.476822, 127.123162"
서울특별시,중랑구,바람길,02-434-6449,서울 중랑구 망우로 332 (상봉동),미인증,"37.592008, 126.923230"
서울특별시,금천구,반도서점,02-805-9839,서울 금천구 독산로 136 (시흥동) 1층,미인증,"37.477261, 126.896837"
서울특별시,관악구,밝은책방,02-2039-6511,서울 관악구 봉천로 540-1 (봉천동) 2층,미인증,"37.481237, 126.950269"
서울특별시,서대문구,밤의서점,,서울 서대문구 성산로 567-8 (대신동),미인증,"37.572924, 126.936178"
서울특별시,양천구,배광서점,02-2643-1020,서울 양천구 목동중앙남로 28 (목동),미인증,"37.520833, 126.876170"
서울특별시,종로구,배화우리서점문구,02-738-9184,서울 종로구 필운대로1길 31 (필운동),미인증,"37.594494, 126.960944"
서울특별시,서초구,백석대 구내서점,,서울 서초구 효령로26길 9-12 (방배동),미인증,"37.505084, 127.016692"
서울특별시,마포구,백호서점문구,02-716-8628,서울 마포구 광성로6안길 10 (신수동),인증,"37.604785, 127.042381"
서울특별시,강북구,번동문고,02-981-8425,서울 강북구 오현로 191 번동문고 (번동),인증,"37.562682, 126.905355"
서울특별시,마포구,번역가의 서재,010-8922-7421,서울 마포구 동교로17길 67 (서교동) 1층 101호,미인증,"37.547520, 127.040641"
서울특별시,관악구,법문서적,02-882-3333,서울 관악구 신림로23길 16 (신림동) 2층,미인증,"37.482487, 126.926870"
서울특별시,강서구,벧엘서점,02-2663-1678,서울 강서구 강서로47길 36 (내발산동),미인증,"37.560968, 126.826823"
서울특별시,서대문구,별별그림,070-4119-3654,"서울 서대문구 증가로6길 43 (홍은동, 해피리움) 1층 102호",미인증,"37.533067, 126.849947"
서울특별시,용산구,별책부록,070-4007-6690,서울 용산구 신흥로16길 7 (용산동2가) 1층,미인증,"37.604149, 126.931605"
서울특별시,서대문구,보문서점,02-362-1719,서울 서대문구 통일로 161-5 (냉천동),미인증,"37.536356, 126.945980"
서울특별시,강동구,보성서점,02-483-1477,서울 강동구 양재대로89길 28 (성내동),미인증,"37.562938, 126.947381"
서울특별시,종로구,보안책방,02-720-8409,서울 종로구 효자로 33 (통의동) 2층,미인증,"37.570936, 126.981434"
서울특별시,금천구,본동서적,02-893-0158,서울 금천구 금하로 631-7 (시흥동),미인증,"37.446368, 126.908796"
서울특별시,강동구,봄서점,02-477-8200,서울 강동구 양재대로 1341 지하1 (성내동),인증,"37.534095, 127.135009"
서울특별시,성북구,부비프,010-6312-7663,서울 성북구 보문로30가길 31 (동선동2가) 1층,미인증,"37.591184, 127.017396"
서울특별시,강동구,북데이423,02-442-5581,서울 강동구 고덕로 266 (명일동) 대명벨리온 지하1층 북데이423,미인증,"37.552914, 127.145935"
서울특별시,강북구,북모아,02-903-8833,"서울 강북구 인수봉로55가길 5 (수유동, 대승빌리지) 101호",미인증,"37.642121, 127.022109"
서울특별시,종로구,북바이북 광화문점,02-725-0416,서울 종로구 새문안로5길 19 (당주동),미인증,"37.572973, 126.972464"
서울특별시,노원구,북뱅크,02-2091-0304,서울 노원구 한글비석로 242 (중계동) 삼부프라자 지하1층,미인증,"37.649437, 127.061174"
서울특별시,종로구,북살롱 텍스트북,02-722-0934,서울 종로구 사직로9길 22 (필운동) 2층,미인증,"37.573415, 126.968187"
서울특별시,마포구,북스토어17,010-9005-1298,서울 마포구 독막로5길 33 (서교동) 1층,미인증,"37.551849, 126.921772"
서울특별시,마포구,북스피리언스,02-324-2399,서울 마포구 연남로11길 34 (연남동) 지하1층,미인증,"37.562472, 126.924498"
서울특별시,성북구,북악서점,02-942-0649,서울 성북구 정릉로 159 (정릉동),미인증,"37.607876, 127.012458"
서울특별시,강서구,북오피스,02-2242-6460,서울 강서구 공항대로48길 47 예성1층101호 (화곡동),미인증,"37.530532, 126.861567"
서울특별시,종로구,북커스,02-394-4588,서울 종로구 평창30길 10 (평창동) 2층,미인증,"37.610739, 126.962861"
서울특별시,마포구,북티크,02-6084-1123,서울 마포구 양화로 107 (서교동) 1층,미인증,"37.556642, 126.923830"
서울특별시,강서구,북파크,02-851-9721,"서울 강서구 가로공원로 236-11 (화곡동, 오메가타운) 202호",미인증,"37.537963, 126.858290"
서울특별시,마포구,비건책방 서울,010-2512-0423,서울 서대문구 가재울로2안길 29-14 (남가좌동) 1층,미인증,"37.575774, 126.910041"
서울특별시,구로구,비씨지북스,070-8715-8411,서울 구로구 경인로25길 31 (오류동) 2층,미인증,"37.489566, 126.825487"
서울특별시,구로구,비씨지북스,070-8715-8411,서울 구로구 경인로25길 31 (오류동)2층,미인증,"37.497333, 126.855317"
서울특별시,종로구,비화림,010-4507-4813,서울 종로구 창덕궁길 153 (계동),미인증,"37.581646, 126.987482"
서울특별시,중랑구,사가정문고,02-493-9544,서울 중랑구 사가정로 398 (면목동),미인증,"37.579000, 127.088889"
서울특별시,용산구,사눅책방,0507-1421-6687,서울 용산구 두텁바위로 94-1 (후암동) 1층,미인증,"37.546091, 126.980861"
서울특별시,마포구,사슴책방,010-2727-8076,서울 마포구 성미산로13길 110 (성산동),미인증,"37.561720, 126.914351"
서울특별시,도봉구,사유의 사유,070-7799-0794,서울 도봉구 방학로3길 12 (방학동),미인증,"37.663105, 127.040439"
서울특별시,종로구,사이에,0507-1415-5630,서울 종로구 북촌로 125-6 (삼청동),미인증,"37.583100, 126.977525"
서울특별시,강남구,사이책방,070-8807-2005,서울 강남구 강남대로126길 74 (논현동),미인증,"37.507290, 127.026682"
서울특별시,종로구,사진책방 고래,02-720-7274,서울 종로구 자하문로 106 (청운동),미인증,"37.579054, 126.973114"
서울특별시,마포구,산책자,070-8658-2141,서울 마포구 성지길 36 (합정동) 3층,미인증,"37.550940, 126.910032"
서울특별시,관악구,살롱드북,070-4007-2466,서울 관악구 남부순환로231길 11 (봉천동),미인증,"37.545554, 127.144544"
서울특별시,강동구,삼환서점,02-3428-1582,서울 강동구 구천면로 427 (명일동) 삼환서점,미인증,"37.655878, 127.060034"
서울특별시,노원구,상계문고,02-931-9453,"서울 노원구 동일로 1361 (상계동, 상계주공2단지아파트)",미인증,"37.654355, 127.066740"
서울특별시,마포구,상암누리문고,02-332-2689,서울 마포구 월드컵북로 396 (상암동)누리꿈스퀘어 B1 1093호,인증,"37.527489, 126.897624"
서울특별시,영등포구,새고서림,010-2957-2123,서울 영등포구 영신로39길 8-1 (당산동1가) 201호,미인증,"37.519745, 126.905224"
서울특별시,양천구,새벽감성1집,0507-1365-1209,"서울 양천구 월정로50길 16-8 (신월동, 다하임) 1층",미인증,"37.520818, 126.831952"
서울특별시,강남구,샘서림,02-578-1041,서울 강남구 개포로 218 (개포동),미인증,"37.488349, 127.055121"
